,zipcode,local,zip_trunck,count_CP,moyenne,mediane
0,612,Saint-Nicolas,610,0,,
1,1000,BRUXELLES,1000,1014,593861.1380670612,370500.0
2,1005,Assemblée Réunie de la Commission Communautaire,1000,0,593861.1380670612,370500.0
3,1006,Raad van de Vlaamse Gemeenschapscommissie,1000,0,593861.1380670612,370500.0
4,1007,Assemblée de la Commission Communautaire Française,1000,0,593861.1380670612,370500.0
5,1008,Chambre des Représentants,1000,0,593861.1380670612,370500.0
6,1009,Senat de Belgique,1000,0,593861.1380670612,370500.0
7,1011,Vlaams parlement,1010,0,,
8,1012,Parlement de la Communauté française,1010,0,,
9,1020,Laeken,1020,121,314982.5041322314,249500.0
10,1030,SCHAERBEEK,1030,374,361088.5320855615,275000.0
11,1031,Organisations Sociales Chrétiennes,1030,0,361088.5320855615,275000.0
12,1033,RTL-TVI,1030,0,361088.5320855615,275000.0
13,1035,Ministère de la Région de Bruxelles Capitale,1030,0,361088.5320855615,275000.0
14,1040,ETTERBEEK,1040,424,600834.8726415094,490000.0
15,1041,International Press Center,1040,0,600834.8726415094,490000.0
16,1043,VRT,1040,0,600834.8726415094,490000.0
17,1044,RTBF,1040,0,600834.8726415094,490000.0
18,1046,European External Action Service,1040,0,600834.8726415094,490000.0
19,1047,Parlement Européen,1040,0,600834.8726415094,490000.0
20,1048,Union Européenne - Conseil,1040,0,600834.8726415094,490000.0
21,1049,Union Européenne - Commission,1040,0,600834.8726415094,490000.0
22,1050,IXELLES,1050,1273,947636.1437549096,575000.0
23,1060,SAINT-GILLES,1060,221,580678.3800904978,445000.0
24,1070,ANDERLECHT,1070,488,307434.2725409836,249999.5
25,1080,MOLENBEEK-SAINT-JEAN,1080,297,293898.22895622894,235000.0
26,1081,KOEKELBERG,1080,118,293898.22895622894,235000.0
27,1082,BERCHEM-SAINTE-AGATHE,1080,83,293898.22895622894,235000.0
28,1083,GANSHOREN,1080,177,293898.22895622894,235000.0
29,1090,JETTE,1090,194,320085.40206185565,236999.5
30,1099,Bruxelles X,1090,0,320085.40206185565,236999.5
31,1100,Postcheque,1100,0,,
32,1101,Scanning,1100,0,,
33,1105,ACTISOC,1100,0,,
34,1110,OTAN,1110,0,,
35,1120,Neder-Over-Heembeek,1120,79,333729.5189873418,295900.0
36,1130,Haren,1130,16,382124.6875,372499.5
37,1140,EVERE,1140,293,322856.5563139932,295000.0
38,1150,WOLUWE-SAINT-PIERRE,1150,357,835201.3081232493,645000.0
39,1160,AUDERGHEM,1160,341,439891.0410557185,375000.0
40,1170,WATERMAEL-BOITSFORT,1170,125,1081651.216,580000.0
41,1180,UCCLE,1180,1128,819086.804964539,515000.0
42,1190,FOREST,1190,192,531669.6770833334,342499.5
43,1200,WOLUWE-SAINT-LAMBERT,1200,368,477070.45652173914,376999.5
44,1210,SAINT-JOSSE-TEN-NOODE,1210,50,415079.62,304499.5
45,1212,SPF Mobilité,1210,0,415079.62,304499.5
46,1300,WAVRE,1300,327,363821.6727828746,295000.0
47,1300,Limal,1300,327,363821.6727828746,295000.0
48,1301,Bierges,1300,35,363821.6727828746,295000.0
49,1310,LA HULPE,1310,44,811545.1363636364,592500.0
50,1315,Opprebais,1310,28,811545.1363636364,592500.0
51,1315,Glimes,1310,28,811545.1363636364,592500.0
52,1315,Piétrebais,1310,28,811545.1363636364,592500.0
53,1315,Roux-Miroir,1310,28,811545.1363636364,592500.0
54,1315,INCOURT,1310,28,811545.1363636364,592500.0
55,1320,Tourinnes-La-Grosse,1320,14,404094.28571428574,364913.0
56,1320,Hamme-Mille,1320,14,404094.28571428574,364913.0
57,1320,Nodebais,1320,14,404094.28571428574,364913.0
58,1320,BEAUVECHAIN,1320,14,404094.28571428574,364913.0
59,1320,L'Ecluse,1320,14,404094.28571428574,364913.0
60,1325,CHAUMONT-GISTOUX,1320,46,404094.28571428574,364913.0
61,1325,Corroy-Le-Grand,1320,46,404094.28571428574,364913.0
62,1325,Bonlez,1320,46,404094.28571428574,364913.0
63,1325,Longueville,1320,46,404094.28571428574,364913.0
64,1325,Dion-Valmont,1320,46,404094.28571428574,364913.0
65,1330,RIXENSART,1330,58,510177.8448275862,474999.5
66,1331,Rosières,1330,4,484422.16161616164,474999.5
67,1332,Genval,1330,37,510177.8448275862,474999.5
68,1340,OTTIGNIES-LOUVAIN-LA-NEUVE,1340,56,354927.98214285716,347499.0
69,1340,Ottignies,1340,56,354927.98214285716,347499.0
70,1341,Céroux-Mousty,1340,16,354927.98214285716,347499.0
71,1342,Limelette,1340,20,354927.98214285716,347499.0
72,1348,Louvain-La-Neuve,1340,229,354927.98214285716,347499.0
73,1350,Noduwez,1350,61,280507.81967213115,275000.0
74,1350,Folx-Les-Caves,1350,61,280507.81967213115,275000.0
75,1350,Jauche,1350,61,280507.81967213115,275000.0
76,1350,ORP-JAUCHE,1350,61,280507.81967213115,275000.0
77,1350,Enines,1350,61,280507.81967213115,275000.0
78,1350,Marilles,1350,61,280507.81967213115,275000.0
79,1350,Jandrain-Jandrenouille,1350,61,280507.81967213115,275000.0
80,1350,Orp-Le-Grand,1350,61,280507.81967213115,275000.0
81,1357,Neerheylissem,1350,14,280507.81967213115,275000.0
82,1357,Linsmeau,1350,14,280507.81967213115,275000.0
83,1357,Opheylissem,1350,14,280507.81967213115,275000.0
84,1357,HÉLÉCINE,1350,14,280507.81967213115,275000.0
85,1360,Malèves-Sainte-Marie-Wastinnes,1360,19,311118.5263157895,292999.0
86,1360,Thorembais-Saint-Trond,1360,19,311118.5263157895,292999.0
87,1360,Orbais,1360,19,311118.5263157895,292999.0
88,1360,Thorembais-Les-Béguines,1360,19,311118.5263157895,292999.0
89,1360,PERWEZ,1360,19,311118.5263157895,292999.0
90,1367,Grand-Rosière-Hottomont,1360,44,311118.5263157895,292999.0
91,1367,RAMILLIES,1360,44,311118.5263157895,292999.0
92,1367,Bomal,1360,44,311118.5263157895,292999.0
93,1367,Mont-Saint-André,1360,44,311118.5263157895,292999.0
94,1367,Autre-Eglise,1360,44,311118.5263157895,292999.0
95,1367,Gérompont,1360,44,311118.5263157895,292999.0
96,1367,Huppaye,1360,44,311118.5263157895,292999.0
97,1367,Geest-Gérompont-Petit-Rosière,1360,44,311118.5263157895,292999.0
98,1370,Piétrain,1370,148,278368.64864864864,254999.0
99,1370,Saint-Remy-Geest,1370,148,278368.64864864864,254999.0
100,1370,Mélin,1370,148,278368.64864864864,254999.0
101,1370,JODOIGNE,1370,148,278368.64864864864,254999.0
102,1370,Dongelberg,1370,148,278368.64864864864,254999.0
103,1370,Saint-Jean-Geest,1370,148,278368.64864864864,254999.0
104,1370,Zétrud-Lumay,1370,148,278368.64864864864,254999.0
105,1370,Jodoigne-Souveraine,1370,148,278368.64864864864,254999.0
106,1370,Jauchelette,1370,148,278368.64864864864,254999.0
107,1370,Lathuy,1370,148,278368.64864864864,254999.0
108,1380,Maransart,1380,137,1359240.4160583941,895000.0
109,1380,Plancenoit,1380,137,1359240.4160583941,895000.0
110,1380,Lasne-Chapelle-Saint-Lambert,1380,137,1359240.4160583941,895000.0
111,1380,Couture-Saint-Germain,1380,137,1359240.4160583941,895000.0
112,1380,LASNE,1380,137,1359240.4160583941,895000.0
113,1380,Ohain,1380,137,1359240.4160583941,895000.0
114,1390,GREZ-DOICEAU,1390,92,559868.3478260869,420000.0
115,1390,Bossut-Gottechain,1390,92,559868.3478260869,420000.0
116,1390,Biez,1390,92,559868.3478260869,420000.0
117,1390,Nethen,1390,92,559868.3478260869,420000.0
118,1390,Archennes,1390,92,559868.3478260869,420000.0
119,1400,Monstreux,1400,149,347853.4765100671,265999.0
120,1400,NIVELLES,1400,149,347853.4765100671,265999.0
121,1401,Baulers,1400,1,348378.58278145693,265999.0
122,1402,Thines,1400,1,348378.58278145693,265999.0
123,1404,Bornival,1400,0,348378.58278145693,265999.0
124,1410,WATERLOO,1410,286,575513.993006993,384999.0
125,1420,BRAINE-L'ALLEUD,1420,308,437345.538961039,373999.0
126,1421,Ophain-Bois-Seigneur-Isaac,1420,10,437345.538961039,373999.0
127,1428,Lillois-Witterzée,1420,14,437345.538961039,373999.0
128,1430,REBECQ,1430,39,372085.358974359,320000.0
129,1430,Rebecq-Rognon,1430,39,372085.358974359,320000.0
130,1430,Bierghes,1430,39,372085.358974359,320000.0
131,1430,Quenast,1430,39,372085.358974359,320000.0
132,1435,Corbais,1430,149,372085.358974359,320000.0
133,1435,Hévillers,1430,149,372085.358974359,320000.0
134,1435,MONT-SAINT-GUIBERT,1430,149,372085.358974359,320000.0
135,1440,Wauthier-Braine,1440,45,343110.97777777776,295000.0
136,1440,BRAINE-LE-CHÂTEAU,1440,45,343110.97777777776,295000.0
137,1450,Cortil-Noirmont,1450,6,286433.0,244999.5
138,1450,CHASTRE,1450,6,286433.0,244999.5
139,1450,Chastre-Villeroux-Blanmont,1450,6,286433.0,244999.5
140,1450,Saint-Géry,1450,6,286433.0,244999.5
141,1450,Gentinnes,1450,6,286433.0,244999.5
142,1457,Tourinnes-Saint-Lambert,1450,13,286433.0,244999.5
143,1457,Walhain-Saint-Paul,1450,13,286433.0,244999.5
144,1457,WALHAIN,1450,13,286433.0,244999.5
145,1457,Nil-Saint-Vincent-Saint-Martin,1450,13,286433.0,244999.5
146,1460,Virginal-Samme,1460,19,537683.5263157894,279999.0
147,1460,ITTRE,1460,19,537683.5263157894,279999.0
148,1461,Haut-Ittre,1460,0,537683.5263157894,279999.0
149,1470,Bousval,1470,71,433261.71830985916,335000.0
150,1470,GENAPPE,1470,71,433261.71830985916,335000.0
151,1470,Baisy-Thy,1470,71,433261.71830985916,335000.0
152,1471,Loupoigne,1470,3,431923.48484848486,335000.0
153,1472,Vieux-Genappe,1470,15,433261.71830985916,335000.0
154,1473,Glabais,1470,9,433261.71830985916,335000.0
155,1474,Ways,1470,1,431923.48484848486,335000.0
156,1476,Houtain-Le-Val,1470,0,431923.48484848486,335000.0
157,1480,Clabecq,1480,347,274150.05475504324,231869.0
158,1480,Oisquercq,1480,347,274150.05475504324,231869.0
